LATITUDE,LONGITUDE,Aug-22,Jan-23,Nov-22,Mar-22,WELL DEPTH
16.4608,79.9206,0.68,0.019789109,1.15,4.44,0.22584593
16.4609,79.9204,4.98,0.051928355,1.15,4.44,0.224190063
16.5514,79.5477,0.9,0.008016756,0.95,1.72,0.226557975
16.5583,79.4611,2.67,0.011483461,3,10.7,0.226557975
16.0288,80.8397,0.88,0.010905677,0.97,2.21,0.270409905
16.17892,80.750972,9.96,0.066228514,0.97,2.21,0.228075854
16.03278,80.818611,14.27,0.076339737,0.97,2.21,0.276656063
16.21,79.9133,2.26,0.015239058,1.45,2.44,0.254993679
16.2128,79.9049,0.01,0,1.45,2.44,0.254993679
16.2534,79.9141,2.8,0.022894699,2.83,3.73,0.246827264
16.4713,80.1364,4.12,0.026289181,2.3,6.12,0.224025392
16.4063,80.1479,1.2,0.015600173,1.33,2.55,0.246827264
16.2955,79.8648,2.32,0.020583562,2.25,1.16,0.246827264
16.4519,80.375,6.04,0.039650441,4.7,7.29,0.22584593
16.4043,80.4021,1.83,0.02412249,1.5,2.64,0.246827264
16.418,80.3484,1.28,0.014733497,2,2,0.244644235
16.41849,80.442259,3.29,0.018344648,2.1,3.9,0.244644235
16.27655,80.476454,1.3,0.009677885,3.005,3.877222222,0.246827264
16.24374,80.631956,2.68,0.02888921,3.91,3.854444444,0.246005259
16.24111,80.631667,4.07,0.012277914,3.91,3.763333333,0.245676457
16.54561,81.036851,4.27,0.026722519,3.91,3.672222222,0.226557975
16.5145,80.5316,2.55,0.020800231,2.92,3.49,0.224915583
16.4599,80.4552,3.39,0.018416871,1.36,4.14,0.22584593
16.5304,80.4704,2.52,0.018777986,2.1,3.75,0.226557975
16.566,80.4127,0.88,0.012783475,0.95,3.62,0.226557975
16.4084,79.4054,3.66,0.048750542,3.29,8.73,0.246827264
16.3043,79.3263,6.7,0.047956088,7.43,7.54,0.246827264
16.1389,80.7274,2.83,0.026650296,2.7,5.97,0.241806028
16.17889,80.750833,5.18,0.046944966,5.41,4.415,0.228075854
16.0067,79.6903,2.8,0.018272425,2.67,2.86,0.276379277
16.0206,79.8268,3.08,0.019211325,3.33,3.08,0.274164715
16.0276,79.7929,3.88,0.012711252,2.34,3.18,0.270409905
16.1193,79.6506,5.05,0.016972411,1.35,6.54,0.262125176
16.0519,79.7434,3.67,0.025855843,2.42,5.495,0.252980441
16.5632,80.648,1.83,0.040517117,1.73,4.45,0.226557975
17.14613,81.357986,2.46,0.035389282,1.54,4.78,0.003010424
17.0566,80.6352,1.51,0.030261447,1.35,8.68,0.002914748
16.87266,80.63975,1.58,0.011844576,1.9,3.95,0.176518101
16.02283,80.914599,4.47,0.035533728,3.9,5.38,0.274164715
16.3697,81.2721,1.73,0.011339015,1.51,2.3,0.246827264
16.3552,81.2712,1.43,0.06828687,1.13,2.88,0.246827264
16.6451,80.9675,20.29,0.125234725,7.5,25.97,0.226557975
16.1185,80.9393,0.55,0.006355626,0.64,2.13,0.262125176
16.9997,80.5242,1.31,0.016394627,1.07,3.61,0.011770838
16.9486,80.0525,2.71,0.017261303,2.4,4.22,0.01999897
16.97211,80.531169,1.24,0.018200202,1.4,2.68,0.013598114
16.5713,80.7515,4.7,0.023544706,4.64,1.68,0.226557975
16.2579,80.830665,1.43,0.018850209,1.82,3.64,0.246827264
16.442,80.91,4.37,0.018705763,3.2,3.48,0.226873571
16.3436,81.0547,1.73,0.034233714,3.6,3.35,0.246827264
16.3354,81.0779,0.84,0.015239058,1.5,3.05,0.246827264
16.2202,81.0842,0.97,0.00787231,1.1,1.63,0.24603248
16.59016,80.52075,0.52,0.007150079,0.95,1.54,0.226557975
16.8273,80.076,7.72,0.15448505,0.8,15.36,0.175069756
16.5794,81.28671,0.52,0.003177813,0.65,0.53,0.226557975
16.50531,81.29022,0.84,0.017983533,0.79,1.71,0.224915583
16.2747,81.0051,2.39,0.027661418,2.5,2.97,0.246827264
16.2001,81.1136,1.37,0.02029467,1.37,1.64,0.217073119
16.54456,81.199477,1.77,0.013000144,1.55,1.79,0.226557975
16.46083,81.13434,1.4,0.0109779,1.58,2.53,0.224190063
16.51776,81.16381,0.95,0.008088979,0.98,1.71,0.224915583
16.2657,80.9437,1.07,0.062111801,0.91,3.34,0.246827264
16.4735,81.217,1.61,0.036797631,1.46,2.61,0.224025392
16.40835,81.17411,1.55,0.011483461,1.6,2.73,0.246827264
16.4091,81.2081,1.19,0.00787231,1.3,1.93,0.246827264
16.41056,81.156416,0.72,0.041817131,0.72,2.22,0.246827264
16.82833,80.93496,10.01,0.075761953,6.78,20.25,0.182652682
16.80788,80.630106,4.15,0.042322692,3.47,7.7,0.176796235
16.75266,80.63925,2.76,0.01242236,2.93,2.58,0.216677478
15.949,80.922,1.21,0.022100246,1.5,2.38,0.249706437
16.789,80.2734,5.39,0.071139679,3.86,8.18,0.198824614
16.73502,80.3043,3.18,0.02484472,2.95,3.92,0.25126555
16.78681,80.855,0.89,0.004983389,0.72,0.16,0.198824614
16.72076,80.809203,1.13,0.009461216,1.18,4.12,0.244941504
16.331,80.926,1.17,0.01336126,0.79,3.13,0.246827264
16.2269,80.9129,0.95,0.007222302,0.51,2.93,0.24603248
16.277,81.1872,1.18,0.00787231,0.55,1.94,0.246827264
16.3092,81.212,2.96,0.016539073,1,3.73,0.246827264
16.283,81.1293,2.96,0.018344648,2.1,3.57,0.246827264
16.2584,81.1455,2.21,0.013505706,2.78,2.3,0.246827264
16.90187,80.2471,2.37,0.022894699,2.05,4.36,0.132336022
16.87677,80.741375,2.59,0.032283692,3.8,10.23,0.168742206
17.11435,80.6142,0.92,0.027733641,2.3,8.48,0.00248488
16.92517,80.191503,2.22,0.025205836,3,4.65,0.130977962
16.7295,80.4099,10.15,0.073234147,9.35,10.15,0.252005085
16.942,80.783546,1.81,0.02029467,1.77,11.37,0.018411558
16.392,80.1888,3.6,0.015600173,0.57,3.33,0.246827264
16.3966,80.8523,2.77,0.022389138,1.81,3.68,0.246827264
16.356,80.879685,1.35,0.021811353,1.27,3.2,0.246827264
15.7882,77.08347,3.82,0.022822476,2.78,5.18,0.237545618
15.69934,77.2849,5.9,0.04824498,4.9,6.02,0.242415928
15.3593,77.063325,6.4,0.04441716,5.75,6.63,0.239876877
15.5607,77.22214,4.55,0.024050267,2.99,4.4,0.247202961
15.13398,78.67252,6.93,0.061534017,5.72,9.83,0.245448183
15.39912,77.2235,5.05,0.028816987,2.5,6.96,0.23711009
15.87427,78.57705,1.39,0.010472339,0.46,3.76,0.231488386
15.88315,78.6544,2.54,0.018200202,3.57,4.27,0.233044536
15.31297,78.22714,5.23,0.032428138,2.55,4.85,0.224610498
15.66742,78.44095,2.2,0.012639029,1.53,2.62,0.23231632
15.62604,78.534363,0.04,0.003466705,0.37,1.32,0.233411877
15.5942,77.5967,0.41,0.002600029,0.22,0.49,0.255670418
15.3323,77.1262,2.45,0.014589051,1.27,2.69,0.23972164
15.7568,77.4583,4.54,0.014877943,1.42,4.65,0.252417435
15.7079,77.6142,2.16,0.011772353,1.24,2.82,0.251062879
15.7117,77.5963,1,0.008955655,0.6,0.92,0.250011791
15.7726,77.8074,6.93,0.044561606,6.1,7.15,0.256989668
15.3012,77.18819,19,0.041961577,3.54,10.1,0.233822071
15.48333,77.05,2.43,0.014733497,0.98,2.95,0.246393353
15.4321,77.1222,4.95,0.030405893,3.7,5.95,0.246229222
15.85667,78.264113,3.06,0.016033511,2.22,12.67,0.231827699
15.8432,77.1147,4,0.018489094,2.25,4.58,0.240918802
15.6857,77.7736,4.1,0.022822476,3.12,4.98,0.254061714
15.7151,77.8131,2.58,0.017405749,1.4,4.25,0.25532841
15.07472,78.107801,8.05,0.042178246,9.86,13,0.26621849
15.8055,78.0399,2.9,0.027950311,4.56,5.36,0.224870036
15.46921,78.619993,3.6,0.029972555,3.46,5.28,0.233563342
15.9354,77.3561,1.26,0.009244547,0.92,2.59,0.263353601
15.9478,77.3014,3.06,0.022172469,1.74,4.2,0.269856871
15.7556,77.4582,6.04,0.020150224,2.18,6.15,0.252746237
15.48917,78.49468,0.01,0.000288892,0.05,0.05,0.233281704
15.6858,78.1758,2.58,0.018344648,2.61,8.5,0.230238131
15.95924,78.287632,3.34,0.012277914,1.67,4.72,0.251847691
15.85028,78.47074,1.45,0.007077856,0.96,4.1,0.231827699
15.45821,78.3248,3.57,0.02173913,2.59,2.8,0.233563342
15.4359,77.4735,2.98,0.10385671,0.09,3.7,0.249350414
